# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-T" "12" "-Q" "10" "-s" "2" "-t" "exon" "-g" "gene_id" "-a" "/export/III-data/waters/ql9f/Plasmodium_genome/pber/PlasmoDB-53_PbergheiANKA.gff" "-o" "set6.count.tsv" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-16-1_S2.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-16-2_S6.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-16-3_S10.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-24-1_S4.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-24-2_S8.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-24-3_S12.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-8-2_S14.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-8-3_S16.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-8-5_S18.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-G-1_S2.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-G-2_S4.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-G-3_S6.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-16-1_S1.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-16-2_S5.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-16-3_S9.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-24-1_S3.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-24-2_S7.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-24-3_S11.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-8-2_S13.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-8-3_S15.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-8-5_S17.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-G-1_S1.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-G-2.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-G-3_S5.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-16-1_S2.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-16-2_S6.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-16-3_S10.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-24-1_S4.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-24-2_S8.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-24-3_S12.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-8-2_S14.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-8-3_S16.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-8-5_S18.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-G-1_S2.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-G-2_S4.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-G-3_S6.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-16-1_S1.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-16-2_S5.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-16-3_S9.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-24-1_S3.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-24-2_S7.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-24-3_S11.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-8-2_S13.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-8-3_S15.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-8-5_S17.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-G-1_S1.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-G-2.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-G-3_S5.sorted.bam
PBANKA_0317101	PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3	642907;643054;643926	642921;643836;644012	+;+;+	885	1	5	3	7	11	3	4	16	5	5	6	5	3	2	2	10	1	2	9	14	4	6	7	10
PBANKA_1232400	PbANKA_12_v3	1254455	1255375	-	921	254	743	756	566	930	657	567	534	516	197	148	166	597	691	388	714	407	427	490	538	581	128	185	216
PBANKA_1039400	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	1575710;1576155;1576570	1575812;1576240;1576830	+;+;+	450	3189	8705	6997	11117	10407	6624	16663	11356	11813	5194	4203	3834	10480	9361	9726	11514	11574	10107	9437	9905	10989	2112	4379	2331
PBANKA_0516200	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	600815;600981;601185;601384;601528;602358;602670	600866;601050;601272;601425;602277;602554;602829	-;-;-;-;-;-;-	1359	1608	2249	2908	2580	2849	2876	3486	3273	4021	1888	1959	1393	2113	2401	3219	1744	1775	1485	3706	4153	3343	1914	2577	2142
PBANKA_0617100	PbANKA_06_v3;PbANKA_06_v3	726658;727401	727104;727475	-;-	522	2709	4595	3510	2873	2872	5345	8880	9048	8083	7518	6201	4166	2849	2740	4009	4212	4800	3418	6558	8818	5090	4186	6874	4877
PBANKA_0415200	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	537804;537964;538136;538308;538542;538820;539013	537854;538047;538204;538421;538656;538911;539075	-;-;-;-;-;-;-	588	1771	3044	2132	2229	2556	4338	2646	3043	2530	1753	1386	1306	2177	1881	1511	2061	2134	1426	2682	3011	2866	1737	2605	2089
PBANKA_0518700	PbANKA_05_v3	677079	679775	+	2697	712	1180	1075	1088	924	1382	2277	1849	3362	3518	3546	2316	860	1051	1105	703	801	642	1324	1772	1270	2505	3187	2334
PBANKA_0605400	PbANKA_06_v3	274508	276541	+	2034	61	147	366	247	313	101	216	109	233	114	96	66	154	295	112	197	184	107	114	163	111	66	95	81
PBANKA_1114051	PbANKA_11_v3	542349	542421	-	73	10	31	18	77	102	18	47	19	15	2	2	1	97	58	24	132	86	48	20	36	28	1	3	0
PBANKA_0310500	PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3	358607;359077;359419;359649;359917;360161;360332;360705;360894;361190;361746;365140	358933;359192;359551;359771;360036;360205;360509;360767;361025;361587;365024;366270	-;-;-;-;-;-;-;-;-;-;-;-	6045	88	234	359	201	327	182	344	332	372	280	338	206	299	404	579	628	680	705	443	641	334	336	349	239
PBANKA_0506200	PbANKA_05_v3;PbANKA_05_v3	262315;263509	263371;266384	+;+	3933	224	236	1083	1002	993	272	545	340	795	561	520	306	896	1308	884	1012	1416	845	420	655	301	565	625	293
PBANKA_1361100	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	2325550;2325737;2326535	2325612;2326316;2329869	-;-;-	3978	950	1084	1286	1166	1542	1250	712	1166	1566	1008	972	741	1106	1534	1079	835	776	637	998	1351	1043	1281	1255	1290
PBANKA_1200500	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	44450;44639;45076;45610	44536;45073;45474;45624	-;-;-;-	936	0	2	0	2	0	1	1	0	1	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0
PBANKA_0617300	PbANKA_06_v3	730373	731851	-	1479	230	360	402	538	571	253	334	356	460	238	262	182	520	596	363	609	569	490	324	542	288	224	357	167
PBANKA_1430500	PbANKA_14_v3	1168238	1168702	+	465	28	92	105	256	309	58	215	167	254	68	64	24	165	164	110	204	156	130	101	139	119	21	33	29
PBANKA_1001600	PbANKA_10_v3;PbANKA_10_v3	113306;113746	113587;116886	+;+	3423	1366	1088	1324	1702	1275	1470	903	1557	1837	2618	2209	1674	1398	2050	990	1151	1346	952	583	834	455	3167	2844	2827
PBANKA_0911000	PbANKA_09_v3	414799	416976	-	2178	58	163	199	22	40	108	141	186	212	165	261	157	32	78	104	19	25	37	131	207	122	183	162	128
PBANKA_1429200	PbANKA_14_v3	1134353	1136104	-	1752	14725	14946	15410	5968	11002	25973	18686	34281	21400	21568	18212	13337	8936	14446	27262	5054	8879	11667	22160	28276	15577	13646	17033	13212
PBANKA_0936200	PbANKA_09_v3	1311124	1311687	+	564	65	175	170	193	226	131	90	76	61	49	27	46	130	201	62	273	225	154	62	84	64	19	42	48
PBANKA_0806500	PbANKA_08_v3;PbANKA_08_v3;PbANKA_08_v3;PbANKA_08_v3	308296;308555;308827;309102	308403;308649;308947;309836	-;-;-;-	1059	1472	1806	2287	2045	2912	1925	2079	1779	1887	1156	1001	931	2421	2198	2143	2930	2567	2165	1945	2599	1777	875	1380	1052
PBANKA_1124100	PbANKA_11_v3	894682	896007	+	1326	149	220	765	676	657	350	171	142	244	50	49	37	547	1172	665	777	888	721	188	453	127	29	37	52
PBANKA_0519700	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	707940;708150;708339;708581;708794;708988;709215;709518	707969;708217;708460;708678;708880;709052;709338;709565	-;-;-;-;-;-;-;-	642	810	1905	1519	1536	1967	1300	2042	1749	1825	1016	981	785	1381	1175	944	1156	1100	808	1571	1784	1697	773	1269	798
PBANKA_0802900	PbANKA_08_v3	164008	168201	+	4194	87	294	318	203	345	229	158	206	128	115	88	54	176	271	155	299	249	265	90	196	100	78	113	123
PBANKA_1033300	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	1347996;1348129;1348633	1348047;1348513;1348777	+;+;+	582	2470	3027	5553	5040	4866	3684	4322	2739	3266	1473	1169	1240	5796	5665	3613	3304	4126	2764	3623	4671	3823	1214	1975	1552
PBANKA_0309200	PbANKA_03_v3;PbANKA_03_v3	317436;318125	317957;327310	-;-	9708	350	583	677	739	965	626	546	388	597	408	300	218	952	1344	936	1714	2117	1814	486	776	375	383	416	400
PBANKA_1228100	PbANKA_12_v3;PbANKA_12_v3	1076110;1082085	1081988;1082238	+;+	6033	2972	2303	3814	3707	3085	3461	2195	1608	4655	3308	3165	2173	4422	6801	4417	6907	7325	5773	2653	3133	2280	4837	4833	4692
PBANKA_1030400	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	1229743;1230060;1232118	1229881;1231944;1232418	+;+;+	2325	233	287	488	73	133	398	562	729	908	874	1189	751	105	222	691	57	94	170	767	1349	650	1103	909	658
PBANKA_1351400	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	1961107;1961599;1962024;1962251	1961451;1961907;1962165;1963305	+;+;+;+	1851	585	353	718	752	710	490	400	401	705	480	442	404	950	1244	645	1275	1530	1004	473	695	396	636	605	672
PBANKA_0833700	PbANKA_08_v3	1266550	1267200	-	651	59	209	306	407	416	222	301	380	235	151	135	126	484	537	535	1336	1012	876	387	549	396	133	208	114
PBANKA_1220700	PbANKA_12_v3	804069	805472	+	1404	75	160	517	376	352	133	165	81	149	93	84	73	264	762	267	429	445	421	125	277	126	57	108	98
PBANKA_0412100	PbANKA_04_v3	430838	431764	-	927	667	1540	1827	3129	2916	1655	2458	2155	2118	1818	1674	1538	3554	2292	1766	4372	3908	2460	2093	2645	2284	1311	2082	988
PBANKA_0308400	PbANKA_03_v3	296883	297497	+	615	110	177	614	1339	1659	188	795	156	343	41	25	29	1472	1267	1104	2354	1720	1205	1106	1040	1079	17	19	35
PBANKA_1100051	PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3	11138;11300;11482;11778	11209;11479;11775;11924	-;-;-;-	693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PBANKA_1021100	PbANKA_10_v3	874347	875312	+	966	445	1292	1404	1428	1737	879	1132	868	905	306	242	216	1090	1867	1490	2158	2277	1972	1619	2072	1284	245	378	486
PBANKA_1348300	PbANKA_13_v3	1864641	1868111	-	3471	239	248	611	801	751	339	410	177	532	348	326	186	764	1108	559	1503	1952	1289	311	456	273	288	362	187
PBANKA_1038100	PbANKA_10_v3;PbANKA_10_v3	1529739;1529924	1529817;1530348	-;-	504	45	155	53	90	73	70	168	139	221	130	141	66	31	35	38	26	26	24	61	78	24	41	80	25
PBANKA_1457100	PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3	2186512;2186677;2186855;2187077	2186549;2186727;2186926;2188040	-;-;-;-	1125	198	318	319	500	384	296	408	372	502	418	339	274	215	208	151	364	305	176	217	259	212	227	339	219
PBANKA_0110500	PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3	417832;418019;418434;418646;418931;419119;419277;419409	417933;418329;418497;418796;419022;419191;419323;424673	-;-;-;-;-;-;-;-	6105	7446	3656	1381	1668	2162	5612	857	2608	3132	14485	14193	8061	1237	1645	784	1333	1275	940	832	1089	846	18716	16464	15300
PBANKA_0500950	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	23362;23579;24453	23421;24316;24464	-;-;-	810	7	0	5	1	4	11	1	3	6	6	1	1	0	0	0	0	0	6	8	19	21	6	2	1
PBANKA_1241700	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	1583867;1584145;1584369;1584730	1584035;1584222;1584610;1584873	+;+;+;+	633	857	1889	1382	1333	2143	1596	2603	2373	1966	948	796	708	1088	1168	2595	863	830	895	2839	3032	2976	742	1290	953
PBANKA_0606400	PbANKA_06_v3;PbANKA_06_v3	309309;310598	310442;310663	-;-	1200	251	605	439	445	641	415	503	666	462	310	304	252	378	464	326	481	402	238	372	491	393	248	286	331
PBANKA_0604000	PbANKA_06_v3	207993	208997	+	1005	34	78	179	147	210	80	86	29	111	26	39	18	170	489	321	541	715	525	131	226	110	18	29	23
PBANKA_0518200	PbANKA_05_v3	660064	661959	-	1896	1900	3021	5843	6625	7280	3864	5561	2798	4339	3279	2532	2374	7121	5597	2955	6865	5566	3919	4225	4557	5035	2487	4605	2871
PBANKA_0200500	PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3	4858;5011;5936	4923;5718;5950	-;-;-	789	21	55	44	31	60	28	83	69	106	34	31	17	41	30	46	16	13	22	32	43	17	17	34	16
PBANKA_1132600	PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3	1222934;1223168;1223497;1223797;1223992;1224158;1224344	1222981;1223341;1223647;1223866;1224046;1224202;1224409	+;+;+;+;+;+;+	609	3357	7795	7642	8281	10168	7201	7315	5285	4862	2690	1823	2146	8231	7621	4699	7063	6839	5113	5885	6085	8102	2162	4185	2718
PBANKA_0923100	PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3	839192;839560;839832;840182	839252;839631;840044;840504	+;+;+;+	669	423	680	815	1180	1549	807	657	484	418	255	203	228	1115	824	521	1020	1050	982	517	546	493	225	377	259
PBANKA_1437600	PbANKA_14_v3	1425602	1426156	+	555	169426	274340	249417	115868	239615	272856	277685	327766	196256	133786	87594	101763	124202	118590	169688	79221	84080	96981	282223	316471	312547	126127	209880	178789
PBANKA_1333900	PbANKA_13_v3	1361327	1363060	+	1734	360	479	520	433	517	541	512	559	757	440	418	317	285	412	313	414	323	287	288	463	258	308	288	371
PBANKA_1212600	PbANKA_12_v3;PbANKA_12_v3	474993;475430	475220;477688	+;+	2487	204	414	449	76	120	406	628	989	709	579	597	452	118	189	539	66	98	204	789	999	648	739	838	472
PBANKA_0503600	PbANKA_05_v3;PbANKA_05_v3	146219;146560	146342;146762	+;+	327	4162	8724	8445	7034	7480	10000	10809	8068	8202	4221	3719	3237	6017	5784	5929	5064	6293	5712	6998	8016	7623	2046	4127	2292
PBANKA_1224200	PbANKA_12_v3	916254	918704	+	2451	973	1160	1973	1872	2140	1618	2341	1663	3023	2611	2444	1632	2142	3023	3159	3116	4802	4285	2320	3052	1676	2192	2592	1335
PBANKA_1020700	PbANKA_10_v3	859029	861950	-	2922	924	810	1997	1591	1600	1293	1137	930	1775	941	807	545	1579	2937	2557	2662	3681	3027	1211	1946	825	813	891	724
PBANKA_0103900	PbANKA_01_v3	168401	170608	+	2208	2756	3946	4177	3823	4017	4810	5734	6066	6569	2989	2490	1681	4231	4744	5241	4471	5408	4213	3857	5312	3208	3243	3244	3151
PBANKA_1429100	PbANKA_14_v3;PbANKA_14_v3	1133261;1133630	1133459;1133769	-;-	339	2794	6369	6033	2621	4837	7424	5111	5107	3205	1937	1632	1741	3901	4001	6101	2231	3022	4809	5181	5891	5572	1907	3675	1737
PBANKA_1035500	PbANKA_10_v3	1441965	1442540	-	576	541	1332	1076	1220	1630	1456	2180	1889	1976	447	419	315	1196	1120	1787	1325	1128	958	2020	2456	2171	317	551	424
PBANKA_0600031	PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3	7709;8167;10251	8056;10110;10268	-;-;-	2310	64	75	74	45	103	218	72	167	76	132	88	62	58	68	78	69	84	122	72	131	86	118	167	86
PBANKA_1356800	PbANKA_13_v3	2144956	2166336	-	21381	169	154	405	275	226	237	591	281	1398	1116	1127	599	264	463	546	249	321	259	808	1097	649	1611	1349	1439
PBANKA_1207700	PbANKA_12_v3	304340	305344	+	1005	600	1248	1539	1825	2230	1215	2742	2095	2553	1270	1311	871	1388	1081	1220	1354	1181	901	1428	1800	1407	535	1080	540
PBANKA_0314500	PbANKA_03_v3	508148	508471	+	324	6357	15629	10746	11959	17006	11273	16350	11568	10614	5710	4779	4713	11423	9316	9190	12301	10874	8552	10843	11756	12966	2477	5606	3061
PBANKA_1458600	PbANKA_14_v3	2244049	2245056	+	1008	331	466	392	542	609	526	349	593	465	669	577	477	403	640	624	526	581	488	290	478	215	526	594	589
PBANKA_1132900	PbANKA_11_v3	1231635	1233074	-	1440	1066	1136	894	1061	1204	1176	1556	2477	2030	1319	1121	981	789	913	719	769	700	519	918	1221	1101	902	1206	835
PBANKA_1331900	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	1297871;1298413;1299435	1298197;1299264;1299452	+;+;+	1197	2079	3330	6042	6510	6177	3901	9150	4837	9008	5402	4862	3232	7817	8178	5199	5282	6385	4705	5373	7378	5391	2765	4235	2348
PBANKA_1229800	PbANKA_12_v3	1152375	1153565	-	1191	1803	1976	3786	1937	2940	2070	2934	2289	2989	1824	1553	1382	1777	2315	3210	1427	1637	1667	2439	3598	1667	1576	1792	1850
PBANKA_1441800	PbANKA_14_v3	1577221	1577697	-	477	130	416	409	271	485	218	293	266	236	72	77	85	239	271	128	243	236	184	255	277	287	55	93	101
PBANKA_0829800	PbANKA_08_v3;PbANKA_08_v3	1133605;1134005	1133741;1135034	+;+	1167	573	970	1780	2271	2830	1210	1353	886	1159	527	532	412	2373	2667	2238	4041	3829	2910	1102	1730	807	347	498	472
PBANKA_1321800	PbANKA_13_v3	904995	905171	+	177	24	60	80	75	75	75	127	97	161	36	42	15	49	42	156	45	27	48	108	218	114	22	35	27
PBANKA_1462200	PbANKA_14_v3;PbANKA_14_v3	2348439;2350793	2350676;2350819	+;+	2265	862	1038	2313	2782	2598	1206	2053	1147	2285	1052	902	577	1830	2647	1927	2499	2609	1634	1303	1997	956	868	877	845
PBANKA_1229100	PbANKA_12_v3	1134702	1135505	+	804	421	687	1028	1318	1460	534	705	570	743	230	225	238	832	1331	747	1437	1298	1231	702	1027	658	207	250	246
PBANKA_1213500	PbANKA_12_v3	522617	523702	-	1086	37	137	107	102	75	141	159	233	190	79	88	56	58	77	97	144	102	82	133	224	86	55	101	82
PBANKA_1125700	PbANKA_11_v3	944667	945785	+	1119	146	161	127	125	125	115	309	279	465	258	369	191	55	94	181	61	78	80	244	314	200	216	231	192
PBANKA_1010500	PbANKA_10_v3	486878	488557	-	1680	622	565	703	847	582	625	1599	1206	2860	2055	3186	1399	466	1186	1387	745	927	812	1367	2101	767	1477	1422	1280
PBANKA_0501600	PbANKA_05_v3;PbANKA_05_v3	63289;64819	64574;64852	-;-	1320	681	396	950	1393	1101	586	555	616	1370	563	520	440	1361	1899	2127	2008	2349	1867	729	1189	463	352	373	295
PBANKA_1024300	PbANKA_10_v3;PbANKA_10_v3	970827;973670	973392;973713	+;+	2610	1031	698	1927	1937	1561	1122	1306	745	2220	1351	1248	816	1567	2547	1350	2166	2726	1415	843	1293	798	1112	1094	1007
PBANKA_1458000	PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3	2224431;2224640;2224794;2225028;2225313;2225565;2225747;2226176;2226454	2224454;2224692;2224924;2225200;2225389;2225634;2225985;2226300;2226563	-;-;-;-;-;-;-;-;-	1002	761	1368	1840	2008	1934	1411	3167	2576	3123	1453	1340	966	1920	2178	2753	1532	2045	1590	2816	3698	2527	1310	2260	1235
PBANKA_1018400	PbANKA_10_v3	779645	780826	+	1182	214	446	674	1046	1022	519	831	689	1057	319	329	230	742	889	755	1443	1051	714	670	882	493	241	312	284
PBANKA_1311700	PbANKA_13_v3	514981	517827	-	2847	306	323	755	617	734	395	397	468	656	333	331	245	605	780	498	682	721	514	300	441	216	369	310	225
PBANKA_0505200	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	201996;202207;202836;203333	202090;202704;203068;203574	-;-;-;-	1068	1815	2579	7185	13323	12375	4359	7150	2006	4727	880	866	727	16568	15717	15197	21293	25351	17405	8510	9572	7664	661	1154	778
PBANKA_0810600	PbANKA_08_v3	476825	480706	+	3882	1372	1178	1767	2258	2040	1882	2928	2795	4220	2766	2704	1599	1933	2191	1799	1985	2095	1360	1764	1957	1762	2343	2233	2009
PBANKA_1446700	PbANKA_14_v3;PbANKA_14_v3	1799050;1799216	1799139;1800952	-;-	1827	742	1339	3021	4639	4653	1236	2676	986	2304	294	322	258	4383	5888	6268	7138	5904	4507	3912	4599	3186	277	455	484
PBANKA_1329000	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	1155693;1156137;1156446;1156587;1156897;1157061;1157232;1157398;1157549;1157799	1155929;1156316;1156496;1156774;1156980;1157114;1157304;1157450;1157607;1158313	-;-;-;-;-;-;-;-;-;-	1494	537	884	1150	228	368	959	994	1519	1453	926	948	627	194	259	898	118	150	331	1227	1872	882	893	1122	684
PBANKA_0204600	PbANKA_02_v3	156215	156883	-	669	3968	5589	13896	25895	28759	9184	15097	5724	7760	2506	1768	2000	39441	39374	47047	45883	53444	60269	29998	24796	28670	2653	4226	3067
PBANKA_1141400	PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3	1559982;1561061;1561264;1561413;1561567;1561729;1562002	1560919;1561109;1561332;1561472;1561626;1561833;1562361	+;+;+;+;+;+;+	1641	3172	4358	5906	4287	6434	4502	5407	3801	4548	2695	2227	1859	5057	5677	6654	6215	6117	4688	6742	7716	6127	2596	3227	3275
PBANKA_1320700	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	853554;854164;854397;854589;854839;855339;855547;855745;856132	854060;854229;854447;854719;854914;855447;855635;855857;856225	-;-;-;-;-;-;-;-;-	1236	11392	14034	22406	17916	19781	18391	31780	24604	31156	13243	10781	8532	14021	14165	14274	10670	12040	11260	14354	17662	15310	7397	10720	8286
PBANKA_1109100	PbANKA_11_v3	359979	360992	+	1014	369	397	2816	4828	4840	616	2550	260	1557	84	78	117	5300	6243	8865	4974	4636	3696	4267	5461	3628	120	125	116
PBANKA_0811800	PbANKA_08_v3	531579	533303	+	1725	350	585	795	216	442	625	1060	1076	1377	737	828	506	270	349	785	154	184	260	971	1280	790	697	774	633
PBANKA_1310500	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	484209;484380;484611;484852;485064;485279;485513;485688	484238;484535;484704;484967;485114;485390;485579;486129	-;-;-;-;-;-;-;-	1068	2565	5274	2485	1938	3211	4397	3233	8579	4274	3422	3055	2276	1585	2219	4335	2091	1922	2003	4275	5283	3731	3283	4338	4309
PBANKA_0609800	PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3	442444;442733;442939;445937	442511;442808;445808;445982	-;-;-;-	3060	212	516	490	200	373	504	467	560	666	269	271	166	141	264	413	136	109	172	433	749	391	206	290	296
PBANKA_0904700	PbANKA_09_v3;PbANKA_09_v3	167509;167855	167562;167920	+;+	120	6220	13035	12465	14332	20748	10388	13984	9347	9606	4237	3440	3467	17373	14771	11147	20635	19296	14165	10650	12176	10892	2216	4926	2764
PBANKA_1138700	PbANKA_11_v3	1463862	1468115	+	4254	125	81	118	173	117	90	121	101	543	362	542	197	153	232	156	155	184	137	94	128	54	372	407	257
